N bead  	Mean    	Std     	Seed    	FracP   
1.0000	1.1744	0.0152	-8349.0000	0.0040
1.0000	1.1694	0.0178	-8935.0000	0.0040
1.0000	1.1661	0.0178	-2460.0000	0.0040
1.0000	1.1791	0.0165	-8322.0000	0.0040
1.0000	1.1750	0.0156	-6104.0000	0.0040
2.0000	1.6959	0.0251	-8349.0000	0.0040
2.0000	1.6820	0.0237	-8935.0000	0.0040
2.0000	1.6839	0.0285	-2460.0000	0.0040
2.0000	1.6802	0.0242	-8322.0000	0.0040
2.0000	1.6883	0.0258	-6104.0000	0.0040
3.0000	2.1594	0.0270	-8349.0000	0.0040
3.0000	2.1641	0.0291	-8935.0000	0.0040
3.0000	2.1683	0.0517	-2460.0000	0.0040
3.0000	2.1985	0.0329	-8322.0000	0.0040
3.0000	2.1661	0.0325	-6104.0000	0.0040
4.0000	2.5984	0.0358	-8349.0000	0.0040
4.0000	2.6143	0.0427	-8935.0000	0.0040
4.0000	2.6263	0.0351	-2460.0000	0.0040
4.0000	2.6281	0.0525	-8322.0000	0.0040
4.0000	2.6143	0.0301	-6104.0000	0.0040
5.0000	3.0682	0.0710	-8349.0000	0.0040
5.0000	3.0591	0.0586	-8935.0000	0.0040
5.0000	3.0473	0.0653	-2460.0000	0.0040
5.0000	3.0606	0.0731	-8322.0000	0.0040
5.0000	3.0383	0.0732	-6104.0000	0.0040
6.0000	3.3359	0.0641	-8349.0000	0.0040
6.0000	3.4010	0.0637	-8935.0000	0.0040
6.0000	3.4750	0.0680	-2460.0000	0.0040
6.0000	3.4213	0.0897	-8322.0000	0.0040
6.0000	3.4318	0.0820	-6104.0000	0.0040
7.0000	3.7515	0.0723	-8349.0000	0.0040
7.0000	3.7848	0.0748	-8935.0000	0.0040
7.0000	3.8252	0.0824	-2460.0000	0.0040
7.0000	3.8135	0.0991	-8322.0000	0.0040
7.0000	3.8147	0.0816	-6104.0000	0.0040
8.0000	4.1510	0.0835	-8349.0000	0.0040
8.0000	4.1412	0.0969	-8935.0000	0.0040
8.0000	4.1574	0.0945	-2460.0000	0.0040
8.0000	4.0831	0.0958	-8322.0000	0.0040
