N pol   	Mean    	Std     	Seed    	FracP   
1.0000	2.0344	0.4469	-8349.0000	0.0001
1.0000	1.8936	0.6838	-8935.0000	0.0001
1.0000	2.5491	0.8642	-2460.0000	0.0001
1.0000	2.8717	0.4238	-8322.0000	0.0001
1.0000	2.3212	0.7168	-6104.0000	0.0001
1.0000	2.4922	0.5992	-7566.0000	0.0001
1.0000	2.2229	0.9377	-9526.0000	0.0001
1.0000	2.1252	0.7971	-3417.0000	0.0001
1.0000	2.4017	0.6775	-1696.0000	0.0001
1.0000	2.5274	0.5586	-2383.0000	0.0001
1.0000	1.7856	0.5497	-1083.0000	0.0001
1.0000	2.6529	0.6306	-2845.0000	0.0001
1.0000	2.0580	0.5580	-7145.0000	0.0001
1.0000	2.1606	0.5548	-7949.0000	0.0001
1.0000	2.5669	0.8164	-5012.0000	0.0001
12.0000	2.0715	0.2216	-8349.0000	0.0012
12.0000	2.1040	0.1480	-8935.0000	0.0012
12.0000	2.2290	0.1397	-2460.0000	0.0012
12.0000	2.2499	0.2922	-8322.0000	0.0012
12.0000	2.1390	0.1891	-6104.0000	0.0012
12.0000	2.3369	0.1965	-7566.0000	0.0012
12.0000	2.1742	0.1437	-9526.0000	0.0012
12.0000	2.1267	0.2381	-3417.0000	0.0012
12.0000	2.2073	0.2419	-1696.0000	0.0012
12.0000	2.3041	0.1620	-2383.0000	0.0012
12.0000	2.3131	0.1485	-1083.0000	0.0012
12.0000	2.1490	0.1426	-2845.0000	0.0012
12.0000	2.3345	0.1284	-7145.0000	0.0012
12.0000	2.2938	0.1127	-7949.0000	0.0012
12.0000	2.2697	0.2799	-5012.0000	0.0012
23.0000	2.3436	0.1208	-8349.0000	0.0023
23.0000	2.3119	0.1221	-8935.0000	0.0023
23.0000	2.2520	0.1621	-2460.0000	0.0023
23.0000	2.2936	0.0924	-8322.0000	0.0023
23.0000	2.3897	0.1586	-6104.0000	0.0023
23.0000	2.1328	0.1642	-7566.0000	0.0023
23.0000	2.1872	0.1073	-9526.0000	0.0023
23.0000	2.3393	0.1790	-3417.0000	0.0023
23.0000	2.2546	0.0984	-1696.0000	0.0023
23.0000	2.2946	0.0825	-2383.0000	0.0023
23.0000	2.2762	0.1401	-1083.0000	0.0023
23.0000	2.2269	0.1577	-2845.0000	0.0023
23.0000	2.2398	0.1107	-7145.0000	0.0023
23.0000	2.2387	0.2168	-7949.0000	0.0023
23.0000	2.3052	0.1552	-5012.0000	0.0023
34.0000	2.2663	0.1347	-8349.0000	0.0034
34.0000	2.2320	0.1169	-8935.0000	0.0034
34.0000	2.2493	0.1293	-2460.0000	0.0034
34.0000	2.3199	0.0915	-8322.0000	0.0034
34.0000	2.2155	0.1383	-6104.0000	0.0034
34.0000	2.1903	0.0954	-7566.0000	0.0034
