N pol   	Mean    	Std     	Seed    	FracP   
1.0000	0.0000	0.0000	-8349.0000	0.0000
1.0000	0.0000	0.0000	-8935.0000	0.0000
1.0000	0.0000	0.0000	-2460.0000	0.0000
7.0000	6.9302	0.6412	-8349.0000	0.0000
7.0000	6.4540	0.1827	-8935.0000	0.0000
7.0000	6.5067	0.3580	-2460.0000	0.0000
13.0000	6.7170	0.4363	-8349.0000	0.0000
13.0000	6.0225	0.0998	-8935.0000	0.0000
13.0000	6.3001	0.3124	-2460.0000	0.0000
19.0000	6.5703	0.5842	-8349.0000	0.0001
19.0000	6.5186	0.0904	-8935.0000	0.0001
19.0000	6.2453	0.4112	-2460.0000	0.0001
25.0000	6.0637	0.2357	-8349.0000	0.0001
25.0000	6.5127	0.1935	-8935.0000	0.0001
25.0000	6.4367	0.2606	-2460.0000	0.0001
