N bead  	Mean    	Std     	Seed    	FracP   
10.0000	3.3469	0.0254	-8349.0000	0.0099
10.0000	3.3839	0.0602	-8935.0000	0.0099
10.0000	3.3852	0.0725	-2460.0000	0.0099
10.0000	3.3805	0.0364	-8322.0000	0.0099
10.0000	3.3226	0.0391	-6104.0000	0.0099
11.0000	3.5336	0.0880	-8349.0000	0.0099
11.0000	3.5709	0.0863	-8935.0000	0.0099
11.0000	3.5293	0.0505	-2460.0000	0.0099
11.0000	3.5724	0.0259	-8322.0000	0.0099
11.0000	3.4776	0.0410	-6104.0000	0.0099
12.0000	3.7320	0.0612	-8349.0000	0.0099
12.0000	3.6556	0.0435	-8935.0000	0.0099
12.0000	3.7731	0.0914	-2460.0000	0.0099
12.0000	3.7488	0.0985	-8322.0000	0.0099
12.0000	3.8335	0.0866	-6104.0000	0.0099
13.0000	4.0594	0.1089	-8349.0000	0.0099
13.0000	3.8657	0.0826	-8935.0000	0.0099
13.0000	3.9211	0.0676	-2460.0000	0.0099
13.0000	3.9416	0.0462	-8322.0000	0.0099
13.0000	3.8068	0.0499	-6104.0000	0.0099
14.0000	3.9077	0.0796	-8349.0000	0.0099
14.0000	4.1100	0.0551	-8935.0000	0.0099
14.0000	4.0683	0.0652	-2460.0000	0.0099
14.0000	4.0300	0.0582	-8322.0000	0.0099
14.0000	4.0391	0.1162	-6104.0000	0.0099
15.0000	4.2342	0.1081	-8349.0000	0.0099
15.0000	4.1914	0.0586	-8935.0000	0.0099
15.0000	4.1627	0.0866	-2460.0000	0.0099
15.0000	4.2154	0.0512	-8322.0000	0.0099
15.0000	4.2064	0.0409	-6104.0000	0.0099
16.0000	4.5102	0.1107	-8349.0000	0.0099
16.0000	4.5207	0.0609	-8935.0000	0.0099
16.0000	4.4284	0.0550	-2460.0000	0.0099
16.0000	4.3712	0.1117	-8322.0000	0.0099
16.0000	4.4483	0.0532	-6104.0000	0.0099
17.0000	4.6610	0.0879	-8349.0000	0.0099
17.0000	4.6991	0.0909	-8935.0000	0.0099
17.0000	4.6459	0.0806	-2460.0000	0.0099
17.0000	4.6544	0.1392	-8322.0000	0.0099
17.0000	4.7160	0.0421	-6104.0000	0.0099
18.0000	4.6128	0.1007	-8349.0000	0.0099
18.0000	4.7393	0.0799	-8935.0000	0.0099
18.0000	4.9654	0.0662	-2460.0000	0.0099
18.0000	4.8192	0.0785	-8322.0000	0.0099
18.0000	4.9210	0.0683	-6104.0000	0.0099
19.0000	4.9949	0.1037	-8349.0000	0.0099
19.0000	5.0041	0.0885	-8935.0000	0.0099
19.0000	5.2457	0.1156	-2460.0000	0.0099
19.0000	5.1363	0.1602	-8322.0000	0.0099
19.0000	5.2050	0.1188	-6104.0000	0.0099
20.0000	5.1314	0.0782	-8349.0000	0.0099
20.0000	5.1147	0.1483	-8935.0000	0.0099
20.0000	5.0417	0.0827	-2460.0000	0.0099
20.0000	5.0945	0.1260	-8322.0000	0.0099
20.0000	5.3261	0.1800	-6104.0000	0.0099
21.0000	5.3826	0.1740	-8349.0000	0.0099
21.0000	5.4575	0.0547	-8935.0000	0.0099
21.0000	5.4457	0.0829	-2460.0000	0.0099
21.0000	5.5600	0.0999	-8322.0000	0.0099
21.0000	5.4307	0.0989	-6104.0000	0.0099
22.0000	5.5518	0.0845	-8349.0000	0.0099
22.0000	5.7177	0.1426	-8935.0000	0.0099
22.0000	5.6706	0.1622	-2460.0000	0.0099
22.0000	5.5600	0.1530	-8322.0000	0.0099
22.0000	5.7564	0.1602	-6104.0000	0.0099
23.0000	5.9330	0.0901	-8349.0000	0.0099
23.0000	5.9504	0.1094	-8935.0000	0.0099
23.0000	5.9445	0.0860	-2460.0000	0.0099
23.0000	5.9271	0.1121	-8322.0000	0.0099
23.0000	5.9284	0.1727	-6104.0000	0.0099
24.0000	6.0243	0.0869	-8349.0000	0.0099
24.0000	6.1056	0.1480	-8935.0000	0.0099
24.0000	6.1646	0.1050	-2460.0000	0.0099
24.0000	6.1251	0.1680	-8322.0000	0.0099
24.0000	6.0591	0.2030	-6104.0000	0.0099
25.0000	6.3265	0.1235	-8349.0000	0.0099
25.0000	6.1797	0.1101	-8935.0000	0.0099
25.0000	6.4674	0.1715	-2460.0000	0.0099
25.0000	6.5158	0.1289	-8322.0000	0.0099
25.0000	6.3594	0.1210	-6104.0000	0.0099
26.0000	6.5815	0.1254	-8349.0000	0.0099
26.0000	6.4695	0.2114	-8935.0000	0.0099
26.0000	6.2307	0.0852	-2460.0000	0.0099
26.0000	6.6685	0.1248	-8322.0000	0.0099
26.0000	6.5199	0.0609	-6104.0000	0.0099
27.0000	6.8446	0.0899	-8349.0000	0.0099
27.0000	6.4426	0.2210	-8935.0000	0.0099
27.0000	6.5999	0.1353	-2460.0000	0.0099
27.0000	6.7096	0.1364	-8322.0000	0.0099
27.0000	6.6828	0.1669	-6104.0000	0.0099
28.0000	7.2262	0.0973	-8349.0000	0.0099
28.0000	6.9757	0.1174	-8935.0000	0.0099
28.0000	6.9973	0.1414	-2460.0000	0.0099
28.0000	7.0706	0.1121	-8322.0000	0.0099
28.0000	6.9734	0.0679	-6104.0000	0.0099
29.0000	7.3020	0.1176	-8349.0000	0.0099
29.0000	7.1653	0.0857	-8935.0000	0.0099
29.0000	7.3376	0.0889	-2460.0000	0.0099
29.0000	7.2723	0.2443	-8322.0000	0.0099
29.0000	7.1875	0.1361	-6104.0000	0.0099
30.0000	7.5836	0.1047	-8349.0000	0.0099
30.0000	7.3960	0.1544	-8935.0000	0.0099
30.0000	7.3724	0.1672	-2460.0000	0.0099
30.0000	7.5166	0.1326	-8322.0000	0.0099
30.0000	7.3290	0.0830	-6104.0000	0.0099
31.0000	7.6659	0.1741	-8349.0000	0.0099
31.0000	7.5982	0.1966	-8935.0000	0.0099
