N bead  	Mean    	Std     	Seed    	FracP   
10.0000	3.0965	0.0213	-8349.0000	0.0741
10.0000	3.1637	0.0372	-8935.0000	0.0741
10.0000	3.1363	0.0229	-2460.0000	0.0741
10.0000	3.0760	0.0170	-8322.0000	0.0741
10.0000	3.1009	0.0199	-6104.0000	0.0741
11.0000	3.2662	0.0227	-8349.0000	0.0741
11.0000	3.2870	0.0278	-8935.0000	0.0741
11.0000	3.2924	0.0333	-2460.0000	0.0741
11.0000	3.2858	0.0331	-8322.0000	0.0741
11.0000	3.3115	0.0176	-6104.0000	0.0741
12.0000	3.3463	0.0217	-8349.0000	0.0741
12.0000	3.3991	0.0370	-8935.0000	0.0741
12.0000	3.4149	0.0365	-2460.0000	0.0741
12.0000	3.4132	0.0330	-8322.0000	0.0741
12.0000	3.4440	0.0386	-6104.0000	0.0741
13.0000	3.5339	0.0541	-8349.0000	0.0741
13.0000	3.5182	0.0482	-8935.0000	0.0741
13.0000	3.5342	0.0450	-2460.0000	0.0741
13.0000	3.5508	0.0146	-8322.0000	0.0741
13.0000	3.6020	0.0361	-6104.0000	0.0741
14.0000	3.7729	0.0313	-8349.0000	0.0741
14.0000	3.7609	0.0404	-8935.0000	0.0741
14.0000	3.7192	0.0402	-2460.0000	0.0741
14.0000	3.6619	0.0296	-8322.0000	0.0741
14.0000	3.7624	0.0470	-6104.0000	0.0741
15.0000	3.8445	0.0621	-8349.0000	0.0741
15.0000	3.9085	0.0487	-8935.0000	0.0741
15.0000	3.9182	0.0580	-2460.0000	0.0741
15.0000	3.9116	0.0496	-8322.0000	0.0741
15.0000	3.8761	0.0703	-6104.0000	0.0741
16.0000	4.0961	0.0844	-8349.0000	0.0741
16.0000	4.0588	0.0514	-8935.0000	0.0741
16.0000	4.1222	0.1102	-2460.0000	0.0741
16.0000	4.1081	0.0704	-8322.0000	0.0741
16.0000	4.1070	0.0545	-6104.0000	0.0741
17.0000	4.3611	0.1025	-8349.0000	0.0741
17.0000	4.3128	0.0539	-8935.0000	0.0741
17.0000	4.2529	0.0770	-2460.0000	0.0741
17.0000	4.3012	0.0570	-8322.0000	0.0741
17.0000	4.2740	0.1002	-6104.0000	0.0741
18.0000	4.4821	0.0501	-8349.0000	0.0741
18.0000	4.3580	0.1040	-8935.0000	0.0741
18.0000	4.5843	0.0672	-2460.0000	0.0741
18.0000	4.5602	0.0730	-8322.0000	0.0741
18.0000	4.5806	0.0627	-6104.0000	0.0741
19.0000	4.7132	0.1140	-8349.0000	0.0741
19.0000	4.7609	0.0887	-8935.0000	0.0741
19.0000	4.7382	0.1055	-2460.0000	0.0741
19.0000	4.7444	0.0765	-8322.0000	0.0741
19.0000	4.8233	0.1193	-6104.0000	0.0741
